turn,player_move,bot_move,player_board,bot_board
1,"5,5:hit","8,5:miss","[['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', 'o', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.']]","[['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'X', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.']]"
2,"3,4:miss","4,8:miss","[['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', 'o', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', 'o', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.']]","[['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', 'o', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'X', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.']]"
3,"2,2:miss","5,1:miss","[['.', '.', '.', '.', 'o', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', 'o', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', 'o', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.']]","[['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'o', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', 'o', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'X', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.']]"
4,"9,8:miss","2,10:miss","[['.', '.', '.', '.', 'o', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', 'o', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', 'o', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'o', '.', '.', '.', '.', '.', '.', '.', '.']]","[['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'o', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', 'o', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'X', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', 'o', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.']]"
5,"6,7:hit","5,7:miss","[['.', '.', '.', '.', 'o', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', 'o', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', 'o', '.', '.', '.', '.', '.'], ['.', '.', '.', 'o', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'o', '.', '.', '.', '.', '.', '.', '.', '.']]","[['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'o', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', 'o', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'X', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', 'X', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', 'o', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.']]"
6,"1,4:miss","1,2:miss","[['.', '.', '.', '.', 'o', '.', '.', '.', '.', '.'], ['o', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', 'o', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', 'o', '.', '.', '.', '.', '.'], ['.', '.', '.', 'o', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'o', '.', '.', '.', '.', '.', '.', '.', '.']]","[['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'o', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['o', '.', 'o', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'X', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', 'X', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', 'o', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.']]"
7,"10,9:miss","7,2:miss","[['.', '.', '.', '.', 'o', '.', '.', '.', '.', '.'], ['o', '.', '.', '.', '.', '.', 'o', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', 'o', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', 'o', '.', '.', '.', '.', '.'], ['.', '.', '.', 'o', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'o', '.', '.', '.', '.', '.', '.', '.', '.']]","[['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'o', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['o', '.', 'o', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'X', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', 'X', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', 'o', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', 'o'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.']]"
8,"8,9:miss","5,5:miss","[['.', '.', '.', '.', 'o', '.', '.', '.', '.', '.'], ['o', '.', '.', '.', '.', '.', 'o', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', 'o', '.', '.', 'o', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', 'o', '.', '.', '.', '.', '.'], ['.', '.', '.', 'o', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'o', '.', '.', '.', '.', '.', '.', '.', '.']]","[['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'o', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['o', '.', 'o', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'X', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', 'X', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', 'o', '.'], ['.', '.', '.', '.', '.', '.', '.', 'o', '.', 'o'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.']]"
9,"3,2:miss","3,5:miss","[['.', '.', '.', '.', 'o', '.', '.', '.', '.', '.'], ['o', '.', '.', '.', '.', '.', 'o', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', 'o', '.', 'o', '.', '.', 'o', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', 'o', '.', '.', '.', '.', '.'], ['.', '.', '.', 'o', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'o', '.', '.', '.', '.', '.', '.', '.', '.']]","[['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'o', 'o', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['o', '.', 'o', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'X', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', 'X', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', 'o', '.'], ['.', '.', '.', '.', '.', '.', '.', 'o', '.', 'o'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.']]"
10,"4,3:miss","2,3:miss","[['.', '.', '.', '.', 'o', '.', '.', '.', '.', '.'], ['o', '.', '.', '.', '.', '.', 'o', '.', '.', '.'], ['.', 'o', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', 'o', '.', 'o', '.', '.', 'o', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', 'o', '.', '.', '.', '.', '.'], ['.', '.', '.', 'o', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'o', '.', '.', '.', '.', '.', '.', '.', '.']]","[['.', '.', '.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'o', 'o', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', 'o', '.', '.', '.', '.', '.', '.'], ['o', '.', 'o', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'X', 'o', '.', '.', '.', '.'], ['.', '.', '.', 'o', 'o', 'o', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', 'X', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.', 'o', '.'], ['.', '.', '.', '.', '.', '.', '.', 'o', '.', 'o'], ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.']]"
